Iteration,Parameters,Return
120/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0131
121/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0170
122/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0226
123/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",-0.0028
124/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0191
125/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0221
126/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0127
127/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0055
128/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0314
129/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0035
130/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0041
131/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0157
132/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0137
133/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0190
134/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0311
135/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",-0.0034
136/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0179
137/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0233
138/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0131
139/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0170
140/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0226
